bid,shelfmark,all_shelfmarks,title,responsibility,place,date,year,lang,possessor_field_Eco
PUV0815269,ECO.02.0036,ECO.02.0036 ; ECO.02.0039 ; ECO.02.0083,La decadence latine,Joséphin Péladan,Paris,[188.],1885,fre,
BVEE034371,ECO.01.0378,ECO.01.0378 ; ECO.01.0380 ; ECO.01.0381,"Medicina catholica, seu mysticum artis medicandi sacrarium. In tomos diuisom duos. In quibus metaphysica et physica tam sanitatis tuendae, quam morbor",,Francofurti,1629,1629,lat,yes
MIL1037774,ECO.02.0095/4,ECO.02.0095/4 ; ECO.02.0109,Épitre à Sa Majesté l'empereur de Russie; pour compléter les Cent pages décisives; et pour accomplir la Réforme de la mécanique céleste,par l'auteur de la Réforme du savoir humain,Metz,1851,1851,fre,yes
MIL1038448,ECO.02.0136,ECO.02.0136 ; ECO.02.0137,Oeuvres illustrées d'Eugène Sue,"200 dessins par MM. Gavarni, J.-A. Beaucé et Staal, etc., etc.",Paris,1850,1850,fre,
MILE062433,ECO.01.0297,ECO.01.0297 ; ECO.01.0331/1,Cento Virgilianus De Fratribus Roseae Crucis authore F. G. Menapio,,[S.l.],1618,1618,lat,yes
RMLE002108,ECO.01.0761,ECO.01.0761 ; ECO.01.0762,"Raymundi Lullii Opera ea quae ad adinuentam ab ipso artem vniuersalem, scientiarum artiumque omnium breui compendio, firmaque memoria appræhendendarum",,Argentinæ,1598,1598,lat,yes
LO10733578,ECO.02.0004,ECO.02.0004 ; ECO.02.0020,Essais de sciences maudites,par Stanislas de Guaita,Paris,1890-1897,1890,fre,
BVEE000118,ECO.01.0905,ECO.01.0905 ; ECO.01.0984,Henrici Cornelii Agrippae ab Nettesheym ... De occulta philosophia libri tres,,,,1533,lat,yes
BVEE031484,ECO.01.0379,ECO.01.0379 ; ECO.01.0382,"Appendix necessaria Syntagmatis arcanorum chymicorum Andreae Libauij, ... Accesserunt 1. Iudicium breue de dea Hippocratis, ... Henningi Scheunemani, ",,Francofurti,,1615,lat,yes
BVEE046774,ECO.01.0391,ECO.01.0391 ; ECO.01.0392,1.[1]: De macrocosmi historia in duos tractatus diuisa quorum primus de metaphysico macrocosmi et creaturarum illius ortu. Physico macrocosmi in gener,,Opphenemii,1617 [i.e. Francofor,1624,lat,yes
TO0E002412,ECO.01.0652,ECO.01.0652 ; ECO.01.0653,"Amphitheatrum æternæ prouidentiæ diuino-magicum. Christiano-physicum, nec non astrologo-catholicum. Aduersus veteres philosophos, atheos, Epicureos, P",,Lugduni,1615,1615,lat,yes
PAR1197364,ECO.04.0060,ECO.04.0060 ; ECO.04.0061 ; ECO.04.0062 ; ECO.04.0063,Il Medioevo,a cura di Umberto Eco,Milano,,2010,ita,
BVEE036054,ECO.01.0544/01,ECO.01.0544/01 ; ECO.01.0544/02 ; ECO.01.0544/03 ; ECO.01.0544/04,Gerardi Ioannis Vossii De arte grammatica libri septem,,Amsterdami,1635,1635,lat,yes
VEAE142687,ECO.01.0227,ECO.01.0227,"Histoires prodigieuses les plus memorables qui ayent esté obseruée, depuis la Natiuité de Iesus Christ, iusques a nostre siecle: extraictes de plusieu",,A Paris,1560,1560,fre,yes
MIL1038655,ECO.02.0160,ECO.02.0160,Vol. 1.,par Alexandre Dumas,Paris,1887,1887,fre,yes
MIL1038657,ECO.02.0160,ECO.02.0160,Vol. 2.,par Alexandre Dumas,Paris,1887,1887,fre,yes
SBL0561072,ECO.04.0026,ECO.04.0026,Trattato di semiotica generale,Umberto Eco,Milano,[1975],1975,ita,
MIL1038851,ECO.02.0165,ECO.02.0165,Vol. 5.,Tallemant des Reaux,Paris,1856,1856,fre,yes
PUV0675761,ECO.01.0523,ECO.01.0523,Francis Bacon concealed and revealed,by Bertram G. Theobald,London,1930,1930,eng,yes
MIL1039005,ECO.02.0168/12,ECO.02.0168/12,"Voyages, travels and ancillary sciences",,"New York, N.Y.",[1988?],1988,eng,yes
SBL0609875,ECO.01.0578/02,ECO.01.0578/02,I. Cheradami Alphabetum linguae sanctae,a cura dell'Instituo di scriptura,Roma,1983,1983,lat,
VEAE004624,ECO.01.0613,ECO.01.0613,Filologiche ricerche del cavaliere Giacomo Harris volgarizzamento di Pietro Antoniutti,,Venezia,,1799,ita,yes
PUVE009859,ECO.01.0270,ECO.01.0270,"P. Gasparis Schotti...Technica curiosa sive Mirabilia artis libri 12. comprehensa; quibus varia experimenta, variaque technasmata pneumatica, hydrauli",,[Wurzburg],1687,1687,lat,yes
PUVE015587,ECO.01.0977,ECO.01.0977,"Frederici Ruyschii, ... Adversariorum anatomico-medico-chirurgicorum decas tertia ...",,Amstelodami,1733 [i.e. 1744],1744,lat,yes
PUVE015595,ECO.01.0977,ECO.01.0977,Frederici Ruyschii ... Adversariorum anatomico-medico-chirurgicorum. Decas secunda ... Cum figuris aeneis,,Amstelodami,1726 [i. e. 1744],1744,lat,yes
SBL0734208,ECO.02.0117/01,ECO.02.0117/01,Del veltro allegorico de' Ghibellini,[a cura di Bruto Fabricatore],In Napoli,1856,1856,ita,yes
VEAE123661,ECO.01.0030,ECO.01.0030,"Ludicrum chiromanticum Praetorii : seu Thesaurus chiromantiae, locupletissimus: multis jocis [sic] & amoenitatibus, pluribus tamen seriis instructissi",,[Lipsia],1661,1661,lat,yes
SBLE001015,ECO.01.0963,ECO.01.0963,"Aurum superius & inferius aurae superioris & inferioris hermeticum, Christiani Adolphi Balduini, ...",,Amstelodami,1675,1675,lat,yes
RAV0008084,ECO.04.0039,ECO.04.0039,Semiotica e filosofia del linguaggio,Umberto Eco,Torino,1984,1984,ita,
CFI0569892,ECO.01.0254/17,ECO.01.0254/17,Nel mezzo del cammin...: a Dante journey through 700 years of text and images,edited by Livio Ambrogio,Brussels,2003,2003,eng,yes
CFI0627381,ECO.01.0936,ECO.01.0936,1,par m. Aug. Prost,,,1881,fre,yes
PAR0851539,ECO.02.0162/7,ECO.02.0162/7,La paresse,Eugene Sue,Bruxelles,1849,1849,fre,yes
CFI0625629,ECO.01.0518,ECO.01.0518,The great cryptogram,by Ignatius Donnelly,London,1888,1888,eng,
CFI0627385,ECO.01.0936,ECO.01.0936,2,par m. Aug. Prost,Paris,1882,1882,fre,yes
CFI0591115,ECO.01.0482/16,ECO.01.0482/16,Il labirinto metrico di Oronzo Pasquale Macrì,Cosimo Giannuzzi,°Galatina],°2004],2004,ita,yes
VIA0211511,ECO.01.0482/20,ECO.01.0482/20,"Nuovo modo de intendere la lingua zerga, cioè parlare forbesco",,Milano,1980,1980,ita,yes
VIA0211507,ECO.01.0482/22,ECO.01.0482/22,L'elefanticidio in Venezia dell'anno 1819,del nobile signor Pietro Bonmartini Padovano,Milano,1980,1980,ita,yes
MIL0428152,ECO.01.0254/16,ECO.01.0254/16,4: Manuscripts,compiled by Laurence C. Witten and Richard Pachella,New Haven,1977,1977,eng,yes
SBLE008103,ECO.01.0265,ECO.01.0265,Bibliographie instructive: ou Traité de la connaissance des livres rares et singuliers. Contenant un Catalogue raisonné de la plus grande partie de ce,,A Paris,1763-1768,1763,fre,
MIL0428148,ECO.01.0254/16,ECO.01.0254/16,3: Manuscripts,compiled by Laurence C. Witten and Richard Pachella,New Haven,1977,1977,eng,yes
UBOE020328,ECO.01.0440,ECO.01.0440,"Le comte de Gabalis, ou Entretiens sur les sciences secretes. ...",,A Paris,1670,1670,fre,yes
NAPE068149,ECO.01.0661,ECO.01.0661,Voiage du monde de Descartes,,Á Paris,1690,1690,fre,yes
